"","ID","Symbol","EG","RefSeq","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"20151","llF1fxV9FArfrEFJ5U","Stx1a","20907","NM_016801",0.746806279768817,9.18022209513489,6.91241826813819,0.000235954742038619,0.0983123266806277,1.0792502749939
"2608","NUp6JAmdOJ7hzeK5ws","Abcb1b","18669","NM_011075",-1.37048643989071,9.32270736683725,-6.89648480127215,0.000239335241932617,0.0983123266806277,1.06675277505718
"19750","ckc4eq57Lfz47f1Exc","Sod2","20656","NM_013671",-0.561429518899937,14.4105593387345,-6.88654802642875,0.000241471057480216,0.0983123266806277,1.05894231177326
"16721","HnAYS_sF8.3lUDx7pg","Ppp1cb","19046","NM_172707",1.00660415486423,10.5004665810823,6.88129015238171,0.000242609863226071,0.0983123266806277,1.05480440175184
"17048","Eqz.FHH7HeX9W4bSdo","Psg23","56868","NM_020261",2.6630420168058,14.0166493282962,6.83766047059589,0.000252296402942668,0.098420560218054,1.02033053068502
"7174","ZRQnmgNYfQ6HgQ7n7Q","Dcn","13179","NM_007833",1.69493060633511,10.5607071381549,6.76809470420844,0.000268655069804579,0.098420560218054,0.96485182907262
"6031","Bi7Io44oq0Xje0i6IY","Clk1","12747","NM_001042634",1.29206752599083,10.2364816337328,6.76797219194565,0.000268684912662001,0.098420560218054,0.96475356737663
"18600","ZleCE4Z7kkltre5pag","Scrib","105782","NM_134089",-0.617972318932328,9.54375314448859,-6.73839819769636,0.00027599921669604,0.098420560218054,0.940975827887966
"19347","WSPaHuqzSgKLToiHKU","Slc35c2","228875","NM_144893",-0.569859375843578,10.1728799022031,-6.73640913221448,0.000276499139912085,0.098420560218054,0.939372467647357
"16828","un7kHh3svOXfRRCuik","Prdx2","21672","NM_011563",-0.903159343636121,9.1409406116017,-6.72046887324781,0.000280542495188312,0.098420560218054,0.926504354954128
"16561","NerV_xMHX7hAFd6C94","Polr2a","20020","NM_009089",-0.75090186126404,9.92996711206846,-6.71993389584053,0.000280679344863053,0.098420560218054,0.926071900410135
"11359","KweVopFpXqXykXQof8","Kcnh2","16511","NM_013569",0.741314722505535,8.48265700439224,6.71635359328789,0.000281597138055289,0.098420560218054,0.923176750522817
