"","","exprtTATwistRas - expras"
"3n86QPVLPMNRH9s3ew","NM_026166","0.0221950051001762"
"cXb6WKN7RXdTh4VQvo","NM_028807","-0.145771785987089"
"T3l_VB7Ie0UAV.Dl6E","NM_025817","0.170085099514063"
"oZBRUuos8zr8uewkOU","NM_026177","-0.202475276825953"
"fXbZKkip4JRPOdB84o","NM_024262","-0.482987063065615"
"9dQTbtTeiiOct5eRCk","NM_027891","-0.37886953264521"
"cocXnywupOfeNRxxSo","NM_028773","0.454461430977652"
"9iR7ej4t1LV9EVCnpQ","NM_028778","-0.362871361394401"
"uLIJLgI1LRIIFbJK1I","NM_025822","-0.516348416398118"
"BpU7r7w7gRpzksqP2g","NM_025822","-0.0771392457516988"
"KpLAs1V1dBIHJSSslI","NM_029090","0.278605766989685"
"xp6yXrsCFC9Lnsofco","NM_025818","-0.0474350102581305"
"l3cf6LXciyeHinVCuo","NM_029091","0.492915657722287"
"0p6560WFLZ503kDOH0","NM_026388","0.10047417496194"
"94keeJ.hGUlERJ_ee0","NM_026388","-0.0928026952684426"
"itEVxcYoQCiUkSVKx4","NM_001033136","0.0837534439480834"
"iTtIXx4ooiaggtc5XA","NM_001033136","0.00415409309694859"
"3SjulQHP4r0nedH1d0","NM_024244","-0.29893349644351"
"EVQh8IThTlFE9ROp58","NM_025819","-0.0677573022296247"
"HpjtP17m.UsoCJV3jk","NM_025819","0.24434157619512"
"6eyFIQKAIPpff589II","NM_025819","-0.024569333234906"
"oC36KFXbcGz1cDr7ek","NM_028776","-0.367961823820758"
"fzxHoUCd0OIDFRXTdU","NM_028776","-0.06597854792291"
"fLfooVdtwbPVwOvt6Q","NM_028776","-0.290445111874235"
"o3VT8BeJ5cORL6sKro","NM_001081158","-0.280690418924575"
"xp59HleI9LiEZL_70s","NM_133753","-0.177537526621476"
"WhIRLPw_RMSO.nq9Hs","NM_027900","0.518612419896785"
"ZE0uE1d1UJ5Pd1IkJ4","NM_028789","-0.153927239456117"
"fSp6970zUPeufKBKhU","NM_028792","-0.253295282907866"
"HdaiIg7x5I1f9RrsjE","NM_024222","0.129047411231879"
"6UqINgcwPCjodwUieQ","NM_001039824","-0.351093938786795"
"Bq2EUiOdQqXkUL5.6s","NM_027911","0.00943876694457479"
"He0evgSMuJerQwAgUU","NM_001042485","-0.00958546944306882"
"W9coRN9Ua73XuF89C8","NM_027917","0.491428831145697"
"xKy0i4nM1511dt1OgE","NM_146173","-0.0905316212300535"
"fTuuUkVQnEXU3VDtec","NM_138303","0.334864642606782"
"9sngt6vLqFP9MKDf_c","NM_026501","-0.158814154430105"
"u4V444N7KKc3lr3tFo","NM_026184","0.100813758072869"
"TPCU.b73FL1w.dcAzs","NM_026186","0.326768969818632"
"uzVwqhBXTeQXtdbngo","NM_023623","-0.280468185809921"
"HeKeGgoXM.Ik_yeook","NM_026183","-0.112045207947061"
"KFG59en.PnadD6AZl4","NM_026183","-0.510208291083111"
"HeUe0BOR57ce309ano","NM_026183","0.101641239492266"
"QdHlh8qBPXfrROleHU","NM_025831","0.168036053766391"
"xKp6oVB5_XU7ofuSDg","NM_027918","0.177513237783338"
"TAyNfLh4RLovtIroe4","NM_027919","0.695351501908705"
"HkLnqOUz_RcPerc0u4","NM_028791","-0.119282513063453"
"3LdpyBJ4lXeF5JkIEg","NM_027905","0.124909347950689"
"0L_KUJIEFS8iniIJSE","NM_027903","-0.338167685821547"
"3inIJ_SlyrQc0Au530","NM_027903","-0.777105506796355"
"NdHLqYJh7nIgjUUnXk","NM_025829","-0.341357456857052"
"Zjp3ayTe.MALSqXUfk","NM_025829","0.178014093339947"
"ua.R04qnaNfft0OG5M","NM_025829","0.587543005289218"
"Q545RTiKWjJK7ekSiw","NM_026886","-0.547226893261938"
